Time,aspect,swell,period,secD,secS,secP,secD,wdir,wspd,gust,tide,rating,Beach,Reef,Point
12am,110,1.5,14,,,,,45,7,,,3,,,
3a,110,2,13,,,,,0,10,,,2,,,
6a,110,3,13,,,,,22,5,,,2,,,
9a,110,3.5,13,,,,,22,3,,,3,,,
12p,110,1.5,17,,,,,337,6,,,2,,,
3p,110,3,17,,,,,315,8,,,3,,,
6p,110,0.5,16,,,,,0,4,,,2,,,
9p,110,0.5,16,,,,,112,2,,,3,,,
12a,110,0,12,,,,,135,7,,,0,,,
3a,110,0,11,,,,,135,6,,,0,,,
6a,110,0,11,,,,,112,5,,,0,,,
9a,110,0,11,,,,,157,7,,,0,,,
12p,110,0.1,11,,,,,180,11,,,1,,,
3p,110,4,6,,,,,180,12,,,3,,,
6p,110,3.5,6,,,,,157,10,,,3,,,
9p,110,4,6,,,,,157,11,,,3,,,
12a,110,3,7,,,,,67,5,,,3,,,
3a,110,1.5,11,,,,,90,6,,,3,,,
6a,110,1.5,10,,,,,90,7,,,3,,,
9a,110,1,10,,,,,90,4,,,3,,,
12p,110,1.5,17,,,,,337,5,,,3,,,
3p,110,2.5,16,,,,,337,8,,,3,,,
6p,110,3,15,,,,,337,5,,,3,,,
9p,110,3.5,15,,,,,22,1,,,4,,,
12a,110,4.5,12,,,,,157,9,,,4,,,
3a,110,4.5,12,,,,,157,10,,,4,,,
6a,110,4,12,,,,,135,11,,,4,,,
9a,110,3.5,11,,,,,135,13,,,4,,,
12p,110,3.5,11,,,,,157,17,,,4,,,
3p,110,6.5,8,,,,,157,16,,,2,,,
6p,110,8,10,,,,,135,11,,,2,,,
9p,110,8.5,10,,,,,90,9,,,2,,,
12a,110,3,9,,,,,65,12,,,3,,,
3a,110,2.5,9,,,,,76,12,,,3,,,
6a,110,2,9,,,,,69,13,,,3,,,
9a,110,2,8,,,,,65,8,,,3,,,
12p,110,1.5,8,,,,,1,6,,,2,,,
3p,110,1,8,,,,,44,7,,,2,,,
6p,110,1,8,,,,,68,12,,,2,,,
9p,110,0.5,8,,,,,74,12,,,2,,,
12a,110,0.5,8,,,,,70,12,,,2,,,
3a,110,0.3,7,,,,,76,12,,,2,,,
6a,110,0.1,7,,,,,74,11,,,1,,,
9a,110,0.2,13,,,,,78,4,,,1,,,
12p,110,0.2,13,,,,,284,9,,,1,,,
3p,110,0.2,13,,,,,296,6,,,1,,,
6p,110,0.3,16,,,,,9,3,,,1,,,
9p,110,0.3,16,,,,,74,6,,,1,,,
12a,110,0.4,16,,,,,95,6,,,2,,,
3a,110,0.2,16,,,,,110,3,,,1,,,
6a,110,0.1,15,,,,,73,5,,,1,,,
9a,110,0.3,9,,,,,247,0,,,1,,,
12p,110,0.5,9,,,,,8,3,,,1,,,
3p,110,1,8,,,,,334,6,,,2,,,
6p,110,1,8,,,,,357,5,,,2,,,
9p,110,2.5,9,,,,,353,10,,,2,,,
12a,110,4,9,,,,,5,4,,,3,,,
3a,110,5,9,,,,,16,5,,,2,,,
6a,110,6,10,,,,,61,2,,,2,,,
9a,110,6,10,,,,,262,3,,,2,,,
12p,110,7,10,,,,,317,11,,,2,,,
3p,110,7.5,11,,,,,345,14,,,2,,,
6p,110,7.5,11,,,,,356,10,,,2,,,
9p,110,7,11,,,,,358,9,,,2,,,
12a,110,6.5,11,,,,,345,9,,,2,,,
3a,110,6,11,,,,,34,6,,,2,,,
6a,110,5.5,11,,,,,132,7,,,2,,,
9a,110,5,11,,,,,196,3,,,3,,,
12p,110,4.5,11,,,,,282,9,,,3,,,
3p,110,4,11,,,,,335,15,,,2,,,
6p,110,3.5,10,,,,,51,10,,,4,,,
9p,110,3,10,,,,,80,9,,,4,,,
,,3,18,,,,,110,3,,,5,,,
,,3.5,17,,,,,100,4,,,5,,,
,,3,12,,,,,110,2,,,5,,,
,,4,16,,,,,120,5,,,5,,,
,,2.5,20,,,,,115,2,,,5,,,
,,2,20,,,,,105,4,,,5,,,
